1 1 1  1.  1.  1. 1 I01
1 1 1  1.  1.  1. 1 I02
1 1 1  1.  1.  1. 1 I03
1 1 1  1.  1.  1. 1 I04
1 1 1  1.  1.  1. 1 I05
1 1 1  1.  1.  1. 1 I06
1 1 1  1.  1.  1. 1 I07
1 1 1  1.  1.  1. 1 I08
1 1 1  1.  1.  1. 1 I09
1 1 1  1.  1.  1. 1 I10
1 1 1  1.  1.  1. 1 I11
1 1 1  1.  1.  1. 1 I12
1 1 1  1.  1.  1. 1 I13
1 1 1  1.  1.  1. 1 I14
1 1 1  1.  1.  1. 1 I15
1 1 1  1.  1.  1. 1 I16
1 1 1  1.  1.  1. 1 I17
1 1 1  1.  1.  1. 1 I18
1 1 1  1.  1.  1. 1 I19
1 1 1  1.  1.  1. 1 I20
1 1 1  1.  1.  1. 1 I21
1 1 1  1.  1.  1. 1 I22
1 1 1  1.  1.  1. 1 I23
1 1 1  1.  1.  1. 1 I24
1 1 1  1.  1.  1. 1 I25
1 1 1  1.  1.  1. 1 I26
1 1 1  1.  1.  1. 1 I27
1 1 1  1.  1.  1. 1 I28
1 1 1  1.  1.  1. 1 I29
1 1 1  1.  1.  1. 1 I30
1 1 1  1.  1.  1. 1 I31
1 1 1  1.  1.  1. 1 I32
1 1 1  1.  1.  1. 1 I33
1 1 1  1.  1.  1. 1 I34
1 1 1  1.  1.  1. 1 I35
1 1 1  1.  1.  1. 1 I36
1 1 1  1.  1.  1. 1 I37
1 1 1  1.  1.  1. 1 I38
1 1 1  1.  1.  1. 1 I39
1 1 1  1.  1.  1. 1 I40
0 0 0  1.  1.  1. 1 P41
0 0 0  1.  1.  1. 1 P42
0 0 0  1.  1.  1. 1 P43
0 0 0  1.  1.  1. 1 P44
0 0 0  1.  1.  1. 1 P45
0 0 0  1.  1.  1. 1 P46
0 0 0  1.  1.  1. 1 P47
0 0 0  1.  1.  1. 1 P48
0 0 0  1.  1.  1. 1 P49
0 0 0  1.  1.  1. 1 P50
0 0 0  1.  1.  1. 1 P51
0 0 0  1.  1.  1. 1 P52
0 0 0  1.  1.  1. 1 P53
0 0 0  1.  1.  1. 1 P54
0 0 0  1.  1.  1. 1 P55
0 0 0  1.  1.  1. 1 P56
